"Curso","Ordem de prioridade do curso","Nota da qualificacao anterior","Nota de admissao","Deslocado","Necessidades educacionais especiais","Devedor","Genero","Bolsista","Idade na inscricao","Internacional","Materias do primeiro semestre aprovadas","Media das notas do primeiro semestre","Resultado"
"Agronomy",1,160,140,"Nao","Nao","Nao","Homem","Nao",27,"Nao",0,0,"Matriculado"
"Management",1,122,120.3,"Sim","Nao","Nao","Homem","Sim",19,"Nao",5,12.6,"Desistente"
"Communication Design",1,140,118,"Nao","Nao","Sim","Homem","Sim",45,"Nao",6,13.5,"Desistente"
"Advertising and Marketing Management",1,160,149.5,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,13,"Graduado"
"Agronomy",1,130,130,"Nao","Nao","Nao","Homem","Sim",21,"Nao",6,11.7142857142857,"Graduado"
"Advertising and Marketing Management",1,141,126.3,"Nao","Nao","Nao","Homem","Sim",18,"Nao",6,12.1666666666667,"Graduado"
"Management",3,127,116.2,"Nao","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Tourism",1,126,126,"Nao","Nao","Nao","Homem","Nao",29,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,131,122.3,"Nao","Nao","Nao","Homem","Nao",19,"Nao",5,11.5,"Graduado"
"Management",1,130,119.5,"Sim","Nao","Nao","Homem","Sim",18,"Nao",4,11.25,"Matriculado"
"Communication Design",1,130,131.8,"Nao","Nao","Nao","Homem","Sim",22,"Nao",7,12.2857142857143,"Graduado"
"Nursing",6,140,130.7,"Sim","Nao","Nao","Homem","Sim",18,"Nao",7,12.7185714285714,"Desistente"
"Equinculture",1,140,140,"Nao","Nao","Nao","Homem","Nao",20,"Nao",5,12.4,"Matriculado"
"Animation and Multimedia Design",1,140,129.5,"Sim","Nao","Nao","Homem","Nao",20,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,133.1,130,"Nao","Nao","Sim","Homem","Sim",29,"Nao",1,14,"Desistente"
"Advertising and Marketing Management",1,120,114,"Sim","Nao","Nao","Homem","Nao",29,"Nao",3,11.6666666666667,"Desistente"
"Journalism and Communication",1,121,121,"Sim","Nao","Nao","Homem","Nao",23,"Nao",1,13,"Matriculado"
"Animation and Multimedia Design",1,123,116.4,"Sim","Nao","Sim","Homem","Nao",19,"Nao",0,0,"Desistente"
"Informatics Engineering",1,136,121.7,"Sim","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Tourism",1,136,130,"Sim","Nao","Nao","Homem","Nao",22,"Nao",4,11.5,"Desistente"
"Management (Noturno)",1,120,120,"Sim","Nao","Sim","Homem","Nao",34,"Nao",7,11.7142857142857,"Desistente"
"Management (Noturno)",1,160,125,"Nao","Nao","Nao","Homem","Nao",26,"Nao",5,12.6,"Graduado"
"Animation and Multimedia Design",1,125,134.1,"Sim","Nao","Nao","Homem","Nao",24,"Nao",13,11.6428571428571,"Desistente"
"Advertising and Marketing Management",1,146,149.5,"Sim","Nao","Nao","Homem","Sim",17,"Nao",6,14.875,"Graduado"
"Advertising and Marketing Management",4,117,113.2,"Nao","Nao","Nao","Homem","Nao",21,"Nao",2,10,"Matriculado"
"Management (Noturno)",1,150,146,"Nao","Nao","Nao","Homem","Nao",34,"Nao",5,14.2,"Matriculado"
"Agronomy",1,140,140,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,12.7142857142857,"Graduado"
"Agronomy",1,111,162.4,"Nao","Nao","Sim","Homem","Nao",49,"Nao",5,11.6,"Desistente"
"Nursing",1,120,136.6,"Nao","Nao","Nao","Homem","Nao",23,"Nao",5,11.94,"Desistente"
"Informatics Engineering",3,111,111,"Sim","Nao","Nao","Homem","Nao",18,"Nao",4,11.6,"Desistente"
"Nursing",1,118,115.7,"Nao","Nao","Nao","Homem","Nao",20,"Nao",5,12.7,"Matriculado"
"Advertising and Marketing Management",3,106,105.7,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,13.3333333333333,"Graduado"
"Agronomy",1,120,128.2,"Sim","Nao","Nao","Homem","Nao",24,"Nao",8,13.3333333333333,"Matriculado"
"Management",1,151,137,"Sim","Nao","Nao","Homem","Nao",18,"Nao",5,13.4,"Graduado"
"Tourism",1,133.1,120,"Nao","Nao","Sim","Homem","Nao",45,"Nao",0,0,"Desistente"
"Management (Noturno)",1,120,120.5,"Sim","Nao","Nao","Homem","Nao",30,"Nao",2,11,"Desistente"
"Management (Noturno)",1,120,118.1,"Nao","Nao","Nao","Homem","Nao",28,"Nao",13,12,"Desistente"
"Management (Noturno)",1,110,139,"Nao","Nao","Nao","Homem","Nao",40,"Nao",0,0,"Desistente"
"Management",2,133.1,116.3,"Nao","Nao","Nao","Homem","Nao",32,"Nao",0,0,"Desistente"
"Tourism",5,118,120.5,"Sim","Nao","Nao","Homem","Nao",19,"Nao",4,12.5,"Desistente"
"Communication Design",1,139,134.9,"Sim","Nao","Nao","Homem","Nao",20,"Nao",6,13.6666666666667,"Graduado"
"Informatics Engineering",1,130,123,"Nao","Nao","Nao","Homem","Nao",18,"Nao",1,10,"Desistente"
"Advertising and Marketing Management",1,132,122.9,"Nao","Nao","Nao","Homem","Nao",20,"Nao",6,11.5,"Desistente"
"Management (Noturno)",1,100,140,"Nao","Nao","Nao","Homem","Nao",39,"Nao",4,12.25,"Matriculado"
"Veterinary Nursing",1,120,122.5,"Nao","Nao","Nao","Homem","Nao",19,"Nao",5,13.6,"Matriculado"
"Management (Noturno)",1,133.1,121.5,"Nao","Nao","Nao","Homem","Nao",38,"Nao",2,10.5,"Matriculado"
"Nursing",3,156,132.3,"Sim","Nao","Nao","Homem","Sim",18,"Nao",6,13.2666666666667,"Graduado"
"Nursing",4,143,131.5,"Sim","Nao","Nao","Homem","Sim",18,"Nao",7,12.5125,"Graduado"
"Equinculture",1,133.1,128.2,"Nao","Nao","Nao","Homem","Nao",28,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,140,148,"Sim","Nao","Nao","Homem","Nao",31,"Nao",0,0,"Desistente"
"Nursing",1,127,121.5,"Nao","Nao","Nao","Homem","Nao",23,"Nao",6,13.4833333333333,"Graduado"
"Nursing",1,135,135.4,"Sim","Nao","Nao","Homem","Nao",21,"Nao",6,12.565,"Matriculado"
"Social Service",1,133.1,139,"Nao","Nao","Sim","Homem","Nao",33,"Nao",0,0,"Desistente"
"Management",1,120,113.4,"Nao","Nao","Nao","Homem","Nao",22,"Nao",3,13,"Desistente"
"Informatics Engineering",1,150,150,"Sim","Nao","Sim","Homem","Nao",20,"Nao",5,16.5,"Desistente"
"Advertising and Marketing Management",1,123,122,"Nao","Nao","Sim","Homem","Nao",19,"Nao",6,13.1666666666667,"Matriculado"
"Veterinary Nursing",1,150,150,"Sim","Nao","Nao","Homem","Nao",20,"Nao",6,13.8,"Graduado"
"Tourism",1,133.1,119.3,"Sim","Nao","Nao","Homem","Nao",25,"Nao",6,11.1666666666667,"Matriculado"
"Agronomy",1,130,140,"Nao","Nao","Nao","Homem","Nao",25,"Nao",0,0,"Desistente"
"Communication Design",4,140,125,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,12.6666666666667,"Matriculado"
"Advertising and Marketing Management",1,141,140.7,"Sim","Nao","Nao","Homem","Nao",20,"Nao",5,12.6,"Graduado"
"Nursing",1,133.1,100,"Nao","Nao","Nao","Homem","Nao",33,"Nao",5,13.06,"Matriculado"
"Journalism and Communication",5,146,146.7,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,13.8333333333333,"Graduado"
"Equinculture",1,133.1,96,"Nao","Nao","Nao","Homem","Nao",31,"Nao",0,0,"Desistente"
"Informatics Engineering",1,160,160,"Nao","Nao","Sim","Homem","Nao",24,"Nao",2,16,"Desistente"
"Informatics Engineering",1,130,130,"Nao","Nao","Sim","Homem","Nao",23,"Nao",0,0,"Desistente"
"Management (Noturno)",1,160,130,"Nao","Nao","Nao","Homem","Sim",26,"Nao",3,10.6666666666667,"Desistente"
"Communication Design",1,140,140,"Sim","Nao","Nao","Homem","Nao",38,"Nao",18,14.5,"Graduado"
"Informatics Engineering",6,126,116.6,"Sim","Nao","Nao","Homem","Sim",20,"Nao",5,14,"Graduado"
"Informatics Engineering",5,118,120.5,"Sim","Nao","Nao","Homem","Nao",20,"Nao",3,13.3333333333333,"Graduado"
"Veterinary Nursing",1,133.1,103,"Nao","Nao","Nao","Homem","Nao",25,"Nao",0,0,"Desistente"
"Communication Design",2,121,111.9,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,12,"Graduado"
"Informatics Engineering",1,148,148.7,"Nao","Nao","Nao","Homem","Nao",18,"Nao",5,16.2,"Graduado"
"Management (Noturno)",1,133.1,120,"Nao","Nao","Nao","Homem","Nao",28,"Nao",7,10.2857142857143,"Desistente"
"Informatics Engineering",2,140,125.7,"Sim","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Matriculado"
"Tourism",1,132,120.1,"Sim","Nao","Nao","Homem","Sim",20,"Nao",6,13.5714285714286,"Graduado"
"Equinculture",1,140,127.8,"Nao","Nao","Nao","Homem","Nao",18,"Nao",6,14.2857142857143,"Graduado"
"Management",3,112,106.4,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,10.2,"Graduado"
"Nursing",1,100,100,"Nao","Nao","Sim","Homem","Nao",24,"Nao",2,10.25,"Desistente"
"Veterinary Nursing",4,126,123.9,"Sim","Nao","Nao","Homem","Nao",21,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,150,139.5,"Nao","Nao","Nao","Homem","Sim",20,"Nao",6,14.8333333333333,"Graduado"
"Agronomy",1,150,150,"Sim","Nao","Nao","Homem","Nao",21,"Nao",5,13.625,"Graduado"
"Oral Hygiene",1,144,139.8,"Nao","Nao","Sim","Homem","Nao",24,"Nao",7,12.2714285714286,"Graduado"
"Management (Noturno)",1,133.1,154.4,"Nao","Nao","Nao","Homem","Nao",27,"Nao",0,0,"Desistente"
"Management",6,120,115.5,"Sim","Nao","Sim","Homem","Nao",19,"Nao",4,12.5,"Matriculado"
"Social Service (Noturno)",1,133.1,119,"Nao","Nao","Nao","Homem","Nao",39,"Nao",9,13.2222222222222,"Graduado"
"Biofuel Production Technologies",1,133.1,96.1,"Nao","Nao","Nao","Homem","Nao",25,"Nao",2,15,"Desistente"
"Animation and Multimedia Design",1,130,130,"Nao","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Communication Design",1,133,128.8,"Nao","Nao","Nao","Homem","Nao",19,"Nao",12,13.1666666666667,"Graduado"
"Journalism and Communication",1,124,126.8,"Nao","Nao","Nao","Homem","Sim",21,"Nao",5,13.8333333333333,"Graduado"
"Management (Noturno)",1,130,130,"Nao","Nao","Nao","Homem","Nao",27,"Nao",0,0,"Desistente"
"Management",3,124,116.7,"Sim","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Matriculado"
"Nursing",3,132,125.5,"Sim","Nao","Nao","Homem","Nao",18,"Nao",7,13.1542857142857,"Matriculado"
"Advertising and Marketing Management",1,110,110,"Sim","Nao","Nao","Homem","Nao",27,"Nao",9,12.3333333333333,"Desistente"
"Journalism and Communication",3,127,133.7,"Sim","Nao","Sim","Homem","Nao",18,"Nao",6,13,"Desistente"
"Equinculture",1,130,117.6,"Nao","Nao","Nao","Homem","Nao",19,"Nao",2,11.5,"Matriculado"
"Agronomy",1,140,140,"Nao","Nao","Nao","Homem","Nao",19,"Nao",3,13.25,"Desistente"
"Agronomy",1,150,150,"Nao","Nao","Nao","Homem","Nao",22,"Nao",3,13.3333333333333,"Matriculado"
"Social Service",2,133,133.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,13.5,"Graduado"
"Journalism and Communication",4,109,137,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,12.6666666666667,"Graduado"
"Management",1,133.1,128.2,"Nao","Nao","Nao","Mulher","Nao",23,"Nao",11,15.0909090909091,"Desistente"
"Animation and Multimedia Design",4,133,129.2,"Sim","Nao","Sim","Homem","Nao",20,"Nao",0,0,"Desistente"
"Journalism and Communication",3,134,129.5,"Sim","Nao","Nao","Homem","Nao",18,"Nao",6,13.1666666666667,"Graduado"
"Journalism and Communication",4,125,129.6,"Sim","Nao","Nao","Homem","Nao",18,"Nao",6,12.8333333333333,"Graduado"
"Informatics Engineering",3,135,121.7,"Sim","Nao","Nao","Homem","Nao",18,"Nao",5,11.8,"Matriculado"
"Journalism and Communication",2,132,141.8,"Sim","Nao","Nao","Homem","Nao",20,"Nao",6,11.8333333333333,"Graduado"
"Journalism and Communication",3,135,129.8,"Sim","Nao","Nao","Homem","Nao",20,"Nao",5,12.8,"Graduado"
"Communication Design",1,100,106,"Nao","Nao","Nao","Homem","Nao",21,"Nao",5,11.8,"Desistente"
"Animation and Multimedia Design",1,144,121.6,"Nao","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Matriculado"
"Informatics Engineering",1,125,121.5,"Sim","Nao","Nao","Homem","Nao",20,"Nao",5,15.8,"Desistente"
"Animation and Multimedia Design",1,133.1,117,"Nao","Nao","Sim","Homem","Nao",19,"Nao",0,0,"Matriculado"
"Informatics Engineering",1,130,130,"Sim","Nao","Nao","Homem","Nao",19,"Nao",2,12.5,"Matriculado"
"Advertising and Marketing Management",1,117,117.7,"Sim","Nao","Nao","Homem","Nao",20,"Nao",6,14.6666666666667,"Graduado"
"Veterinary Nursing",1,140,140,"Sim","Nao","Nao","Homem","Nao",19,"Nao",4,12.5,"Desistente"
"Informatics Engineering",1,132,133.1,"Sim","Nao","Nao","Homem","Nao",19,"Nao",3,12,"Desistente"
"Informatics Engineering",1,133.1,100,"Nao","Nao","Sim","Homem","Nao",24,"Sim",7,13.1428571428571,"Matriculado"
"Advertising and Marketing Management",1,132,119.1,"Nao","Nao","Sim","Homem","Nao",18,"Nao",3,12.6666666666667,"Desistente"
"Informatics Engineering",1,148,129.8,"Nao","Nao","Nao","Homem","Sim",18,"Nao",5,15,"Matriculado"
"Social Service",1,133,131.3,"Sim","Nao","Sim","Mulher","Nao",18,"Nao",5,13.6,"Desistente"
"Journalism and Communication",5,143,136.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.5,"Graduado"
"Social Service",1,143,126.2,"Sim","Nao","Nao","Mulher","Sim",21,"Nao",6,13.3333333333333,"Graduado"
"Veterinary Nursing",1,133.1,109.6,"Nao","Nao","Nao","Mulher","Nao",18,"Sim",4,12.25,"Desistente"
"Nursing",1,141,131.9,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,15.1014285714286,"Graduado"
"Social Service",2,140,140.7,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,13.1666666666667,"Graduado"
"Social Service (Noturno)",6,134,120.7,"Sim","Nao","Nao","Mulher","Nao",23,"Nao",4,11,"Desistente"
"Management",2,118,113.8,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",3,11.6666666666667,"Graduado"
"Social Service",1,135,121,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",1,10,"Matriculado"
"Social Service (Noturno)",1,119,112.4,"Sim","Nao","Nao","Mulher","Nao",26,"Nao",7,11.5714285714286,"Desistente"
"Journalism and Communication",6,145,131,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,12.1666666666667,"Matriculado"
"Animation and Multimedia Design",1,143,142.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,123,125.5,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",6,13.8333333333333,"Graduado"
"Nursing",3,108,107.8,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",6,12.3571428571429,"Graduado"
"Journalism and Communication",3,117,110.4,"Sim","Nao","Sim","Mulher","Nao",19,"Nao",6,12.1666666666667,"Desistente"
"Social Service",1,140,136.1,"Sim","Nao","Sim","Mulher","Nao",21,"Nao",3,12,"Matriculado"
"Tourism",1,170,138.3,"Nao","Nao","Nao","Mulher","Nao",33,"Nao",9,12.4166666666667,"Graduado"
"Veterinary Nursing",2,157,142.3,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",4,12.75,"Graduado"
"Nursing",1,141,145,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",18,14.9333333333333,"Graduado"
"Journalism and Communication",1,125,125.7,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,13,"Graduado"
"Basic Education",1,133.1,108,"Nao","Nao","Sim","Mulher","Nao",33,"Nao",7,12.8571428571429,"Matriculado"
"Nursing",4,143,128.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,14.455,"Graduado"
"Advertising and Marketing Management",1,142,128,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",6,14,"Graduado"
"Journalism and Communication",3,150,146.5,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",6,13.5,"Graduado"
"Tourism",2,112,106.1,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",0,0,"Desistente"
"Social Service (Noturno)",2,133.1,118,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",6,11.6666666666667,"Graduado"
"Veterinary Nursing",1,125,117,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",4,12,"Graduado"
"Social Service",3,121,115.4,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,11.7142857142857,"Graduado"
"Social Service",3,133.1,117,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",6,12.6666666666667,"Graduado"
"Veterinary Nursing",1,133.1,144.9,"Sim","Nao","Nao","Mulher","Nao",26,"Nao",3,11.75,"Matriculado"
"Social Service",1,135,127,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",0,0,"Desistente"
"Nursing",4,132,118,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,12.3285714285714,"Graduado"
"Basic Education",1,133.1,118,"Nao","Nao","Nao","Mulher","Nao",27,"Nao",6,11.6666666666667,"Desistente"
"Communication Design",1,135,126.4,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",12,13.25,"Graduado"
"Advertising and Marketing Management",1,110,110,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",5,11.8333333333333,"Matriculado"
"Oral Hygiene",1,133,124.4,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,13.3,"Graduado"
"Veterinary Nursing",1,140,140,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,12.5555555555556,"Matriculado"
"Journalism and Communication",1,135,129.4,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.8333333333333,"Graduado"
"Social Service",1,140,141.7,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",6,12.8333333333333,"Graduado"
"Veterinary Nursing",2,144,132.1,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",3,12.6666666666667,"Graduado"
"Nursing",5,122,116.8,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,13.2714285714286,"Graduado"
"Management (Noturno)",1,143,135,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",5,12.4,"Graduado"
"Veterinary Nursing",1,150,150,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",2,14.5,"Matriculado"
"Social Service",3,124,116,"Sim","Nao","Sim","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Journalism and Communication",1,156,155,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",6,14.2857142857143,"Graduado"
"Veterinary Nursing",1,142,127,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",3,12.3333333333333,"Graduado"
"Nursing",1,142,130.8,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,12.5833333333333,"Graduado"
"Nursing",6,126,121.8,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,13.7316666666667,"Desistente"
"Agronomy",1,133.1,140,"Nao","Nao","Nao","Homem","Nao",43,"Nao",6,12.875,"Matriculado"
"Communication Design",1,170,148.5,"Nao","Nao","Nao","Homem","Nao",47,"Nao",8,14.625,"Desistente"
"Management",1,130,109.8,"Sim","Nao","Nao","Homem","Nao",23,"Nao",0,0,"Desistente"
"Social Service",1,133,119.7,"Sim","Nao","Sim","Mulher","Sim",19,"Sim",6,12.6666666666667,"Graduado"
"Nursing",1,122,122,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,12.4916666666667,"Graduado"
"Animation and Multimedia Design",1,138,147.5,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",12,13.6666666666667,"Graduado"
"Veterinary Nursing",1,163,150.8,"Sim","Nao","Nao","Mulher","Nao",19,"Sim",6,16,"Graduado"
"Veterinary Nursing",1,150,150,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,14.1428571428571,"Graduado"
"Social Service (Noturno)",1,133.1,131.5,"Nao","Nao","Sim","Mulher","Sim",39,"Nao",6,11.8333333333333,"Graduado"
"Communication Design",1,144,127.2,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",6,12.6666666666667,"Graduado"
"Communication Design",1,118,111,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",6,12.5,"Graduado"
"Social Service",5,101,119.9,"Sim","Nao","Sim","Mulher","Nao",22,"Sim",9,10.8888888888889,"Graduado"
"Journalism and Communication",2,133,133.7,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",1,13,"Desistente"
"Advertising and Marketing Management",1,133.1,140,"Sim","Nao","Nao","Mulher","Nao",22,"Nao",6,15.1666666666667,"Graduado"
"Basic Education",2,124,113.9,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,12.6666666666667,"Graduado"
"Animation and Multimedia Design",1,127,120.7,"Sim","Nao","Sim","Homem","Nao",18,"Nao",0,0,"Desistente"
"Management",1,133.1,119.8,"Nao","Nao","Nao","Homem","Nao",26,"Nao",5,12,"Matriculado"
"Management (Noturno)",1,110,121.8,"Nao","Nao","Nao","Homem","Nao",36,"Nao",0,0,"Desistente"
"Animation and Multimedia Design",1,110,117.7,"Sim","Nao","Sim","Homem","Sim",20,"Nao",0,0,"Graduado"
"Management",1,160,110,"Nao","Nao","Nao","Homem","Nao",30,"Nao",2,11,"Desistente"
"Agronomy",1,120,134.4,"Nao","Nao","Nao","Homem","Nao",24,"Nao",6,15.7142857142857,"Desistente"
"Management",1,133.1,125.3,"Nao","Nao","Nao","Homem","Nao",26,"Nao",11,10.8181818181818,"Desistente"
"Management",1,132,119.1,"Nao","Nao","Nao","Homem","Nao",19,"Nao",1,12,"Desistente"
"Social Service",1,130,146,"Nao","Nao","Nao","Homem","Nao",34,"Nao",5,12.6,"Graduado"
"Equinculture",1,130,130,"Sim","Nao","Nao","Homem","Nao",33,"Nao",1,13,"Matriculado"
"Management",6,129,122,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,11.6,"Graduado"
"Informatics Engineering",5,130,118.1,"Sim","Nao","Sim","Homem","Nao",26,"Nao",1,10,"Desistente"
"Advertising and Marketing Management",1,140,105.2,"Nao","Nao","Nao","Homem","Nao",29,"Nao",1,14,"Desistente"
"Informatics Engineering",5,131,123.3,"Sim","Nao","Nao","Homem","Sim",19,"Nao",5,12.6,"Desistente"
"Animation and Multimedia Design",1,129,124.8,"Sim","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Management (Noturno)",1,133.1,149.4,"Nao","Nao","Nao","Homem","Nao",29,"Nao",2,11.3333333333333,"Desistente"
"Tourism",1,112,108.5,"Nao","Nao","Nao","Homem","Nao",21,"Nao",6,12.6666666666667,"Graduado"
"Tourism",1,119,125,"Nao","Nao","Nao","Homem","Nao",19,"Nao",5,10.8,"Matriculado"
"Nursing",1,133.1,101,"Nao","Nao","Nao","Homem","Nao",20,"Nao",5,12.8785714285714,"Graduado"
"Veterinary Nursing",1,123,112.9,"Nao","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Communication Design",3,131,120.2,"Sim","Nao","Nao","Homem","Nao",18,"Nao",6,12.8333333333333,"Matriculado"
"Management",1,120,111.6,"Nao","Nao","Sim","Homem","Sim",21,"Nao",5,12.6,"Matriculado"
"Management",1,125,134.1,"Sim","Nao","Nao","Homem","Nao",20,"Nao",0,0,"Desistente"
"Informatics Engineering",1,133.1,101.6,"Nao","Nao","Nao","Homem","Sim",30,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",2,121,111.9,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,14.1666666666667,"Graduado"
"Management",1,148,118.4,"Sim","Nao","Nao","Homem","Nao",30,"Nao",5,13.4,"Desistente"
"Management",1,139,127.1,"Sim","Nao","Nao","Homem","Sim",22,"Nao",5,11.2,"Graduado"
"Animation and Multimedia Design",3,125,120.5,"Sim","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Graduado"
"Communication Design",4,128,136.1,"Sim","Nao","Sim","Homem","Nao",19,"Nao",6,12.6666666666667,"Desistente"
"Advertising and Marketing Management",2,132,124,"Sim","Nao","Nao","Homem","Nao",21,"Nao",3,12.3333333333333,"Desistente"
"Veterinary Nursing",4,137,141.6,"Nao","Nao","Nao","Homem","Nao",21,"Nao",4,12.25,"Graduado"
"Animation and Multimedia Design",1,160,160,"Sim","Nao","Sim","Homem","Sim",21,"Nao",0,0,"Desistente"
"Management",1,120,110,"Nao","Nao","Nao","Homem","Nao",27,"Nao",3,10.75,"Desistente"
"Biofuel Production Technologies",1,134,100,"Sim","Nao","Nao","Homem","Nao",32,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,133.1,120,"Nao","Nao","Sim","Homem","Nao",40,"Nao",0,0,"Desistente"
"Management",2,116,124.8,"Sim","Nao","Nao","Homem","Nao",20,"Nao",2,14.3333333333333,"Matriculado"
"Equinculture",1,140,140,"Sim","Nao","Nao","Homem","Nao",20,"Nao",2,11.5,"Desistente"
"Animation and Multimedia Design",3,140,124.3,"Sim","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Graduado"
"Management",1,122,118.9,"Nao","Nao","Nao","Homem","Nao",21,"Nao",2,10.5,"Desistente"
"Advertising and Marketing Management",1,141,130.2,"Nao","Nao","Nao","Homem","Nao",18,"Nao",6,13.5,"Desistente"
"Agronomy",1,120,120,"Nao","Nao","Nao","Homem","Nao",19,"Nao",1,11,"Matriculado"
"Communication Design",1,140,140,"Nao","Nao","Nao","Homem","Nao",30,"Nao",1,10,"Desistente"
"Agronomy",1,133.1,130,"Nao","Nao","Nao","Homem","Nao",29,"Nao",0,0,"Desistente"
"Informatics Engineering",2,137,130.4,"Sim","Nao","Sim","Homem","Nao",18,"Nao",1,12,"Desistente"
"Advertising and Marketing Management",2,122,116.1,"Sim","Nao","Nao","Homem","Sim",18,"Nao",4,12.25,"Desistente"
"Agronomy",1,130,130,"Nao","Nao","Nao","Homem","Nao",22,"Nao",5,11.4,"Desistente"
"Management (Noturno)",2,140,124.3,"Sim","Nao","Nao","Homem","Nao",27,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",6,125,125,"Sim","Nao","Nao","Homem","Nao",20,"Nao",4,14.25,"Graduado"
"Social Service (Noturno)",1,110,110,"Nao","Nao","Nao","Homem","Nao",42,"Nao",11,14.4545454545455,"Graduado"
"Agronomy",1,133.1,115,"Nao","Nao","Sim","Homem","Nao",21,"Nao",12,14.5384615384615,"Graduado"
"Nursing",1,132,129.6,"Nao","Sim","Nao","Homem","Nao",23,"Nao",6,12.7333333333333,"Graduado"
"Communication Design",1,122,128.8,"Sim","Nao","Nao","Homem","Nao",21,"Nao",5,13.2,"Desistente"
"Animation and Multimedia Design",3,155,144.2,"Sim","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Graduado"
"Social Service",1,120,134,"Nao","Nao","Nao","Homem","Sim",40,"Nao",6,12.3333333333333,"Desistente"
"Management",1,129,112,"Nao","Nao","Nao","Homem","Nao",22,"Nao",5,11.2,"Desistente"
"Nursing",2,144,128.8,"Sim","Nao","Nao","Homem","Nao",19,"Nao",6,13.2,"Graduado"
